date,city,pm25,data_quality_flag
2015-02-05,衡水市,43.0,0
2015-02-06,北京市,65.0,0
2015-02-06,天津市,104.0,0
2015-02-06,石家庄市,119.0,0
2015-02-06,唐山市,108.0,0
2015-02-06,秦皇岛市,74.0,0
2015-02-06,邯郸市,146.0,0
2015-02-06,邢台市,141.0,0
2015-02-06,保定市,174.0,0
2015-02-06,张家口市,20.0,0
2015-02-06,承德市,34.0,0
2015-02-06,沧州市,63.0,0
2015-02-06,廊坊市,128.0,0
2015-02-06,衡水市,105.0,0
2015-02-07,北京市,13.0,0
2015-02-07,天津市,58.0,0
2015-02-07,石家庄市,45.0,0
2015-02-07,唐山市,61.0,0
2015-02-07,秦皇岛市,40.0,0
2015-02-07,邯郸市,109.0,0
2015-02-07,邢台市,64.0,0
2015-02-07,保定市,81.0,0
2015-02-07,张家口市,15.0,0
2015-02-07,承德市,24.0,0
2015-02-07,沧州市,60.0,0
2015-02-07,廊坊市,33.0,0
2015-02-07,衡水市,111.0,0
2015-02-08,北京市,23.0,0
2015-02-08,天津市,15.0,0
2015-02-08,石家庄市,52.0,0
2015-02-08,唐山市,21.0,0
2015-02-08,秦皇岛市,19.0,0
2015-02-08,邯郸市,50.0,0
2015-02-08,邢台市,62.0,0
2015-02-08,保定市,60.0,0
2015-02-08,张家口市,23.0,0
2015-02-08,承德市,15.0,0
2015-02-08,沧州市,26.0,0
2015-02-08,廊坊市,18.0,0
2015-02-08,衡水市,33.0,0
2015-02-09,北京市,108.0,0
2015-02-09,天津市,84.0,0
2015-02-09,石家庄市,102.0,0
2015-02-09,唐山市,86.0,0
2015-02-09,秦皇岛市,71.0,0
2015-02-09,邯郸市,100.0,0
2015-02-09,邢台市,115.0,0
2015-02-09,保定市,164.0,0
2015-02-09,张家口市,31.0,0
2015-02-09,承德市,44.0,0
2015-02-09,沧州市,54.0,0
2015-02-09,廊坊市,132.0,0
2015-02-09,衡水市,71.0,0
2015-02-10,北京市,122.0,0
2015-02-10,天津市,126.0,0
2015-02-10,石家庄市,97.0,0
2015-02-10,唐山市,199.0,0
2015-02-10,秦皇岛市,103.0,0
2015-02-10,邯郸市,103.0,0
2015-02-10,邢台市,119.0,0
2015-02-10,保定市,229.0,0
2015-02-10,张家口市,26.0,0
2015-02-10,承德市,53.0,0
2015-02-10,沧州市,80.0,0
2015-02-10,廊坊市,186.0,0
2015-02-10,衡水市,90.0,0
2015-02-11,北京市,41.0,0
2015-02-11,天津市,94.0,0
2015-02-11,石家庄市,81.0,0
2015-02-11,唐山市,69.0,0
2015-02-11,秦皇岛市,40.0,0
2015-02-11,邯郸市,112.0,0
2015-02-11,邢台市,91.0,0
2015-02-11,保定市,177.0,0
2015-02-11,张家口市,20.0,0
2015-02-11,承德市,35.0,0
